country;ISO3;region;african_union;arab_states;BRICS;EU;G20;OECD;CPI_score_2017;standard_error_2017;lower_CI_2017;upper_CI_2017;number_sources_2017;CPI_score_2012;standard_error_2012;number_sources_2012;CPI_score_2013;standard_error_2013;number_sources_2013;CPI_score_2014;standard_error_2014;number_sources_2014;CPI_score_2015;standard_error_2015;number_sources_2015;CPI_score_2016;standard_error_2016;number_sources_2016;world_bank_CPIA;world_economic_forum_EOS;global_insight_country_risk_ratings;bertelsmann_foundation_transformation_index;african_development_bank_CPIA;IMD_world_competitiveness_yearbook;bertelsmann_foundation_sustainable_governance_index;world_justice_project_rule_of_law_index;PRS_international_country_risk_guide;varieties_of_democracy_project;economist_intelligence_unit_country_ratings;freedom_house_nations_in_transit_ratings;PERC_asia_risk_guide
Morocco;MAR;MENA;1;1;0;0;0;0;40;2.6;36;44;7;37;3.2;8;37;2.9;8;39;3.5699999332;6;36;3.8499999046;6;37;1.74;7;0;45;35;29;0;0;0;45;48;39;37;0;0
Turkey;TUR;ECA;0;0;0;0;1;1;40;1.8;37;43;8;49;2.1;9;50;2.4;9;45;2.6900000572;8;42;2.0199999809;8;41;1.8;9;0;0;47;41;0;47;35;41;41;33;37;0;0
Argentina;ARG;AME;0;0;0;0;1;0;39;2.92;34;44;8;35;2.6;8;34;2.4;8;34;2.4200000763;7;32;1.8400000334;7;36;1.76;8;0;29;35;53;0;36;0;48;32;45;37;0;0
Benin;BEN;SSA;1;0;0;0;0;0;39;4.17;32;46;6;36;4.3;6;36;3.4;6;39;4.3800001144;4;37;4.4299998283;5;36;3.8;6;43;26;35;33;44;0;0;0;0;54;0;0;0
Kosovo;KSV;ECA;0;0;0;0;0;0;39;2.13;36;42;5;34;1.5;3;33;2.3;3;33;2.3299999237;3;33;2.1900000572;3;36;3.17;5;35;0;47;37;0;0;0;0;0;39;0;36;0
Kuwait;KWT;MENA;0;1;0;0;0;0;39;2.47;35;43;6;44;3.9;5;43;3.9;5;44;5.2399997711;5;49;4.5100002289;5;41;2.67;5;0;46;35;33;0;0;0;0;47;37;37;0;0
Solomon Islands;SLB;AP;0;0;0;0;0;0;39;3.71;33;45;3;0;0;0;0;0;0;0;0;0;0;0;0;42;3.34;3;35;0;47;0;0;0;0;0;0;36;0;0;0
Swaziland;SWZ;SSA;1;0;0;0;0;0;39;5.81;29;49;3;37;2.1;4;39;1.8;4;43;2.9800000191;3;0;0;0;0;0;0;0;50;35;0;0;0;0;0;0;32;0;0;0
Albania;ALB;ECA;0;0;0;0;0;0;38;1.81;35;41;8;33;2;7;31;2.1;7;33;1.5099999905;7;36;3.5799999237;7;39;1.99;7;0;39;47;37;0;0;0;30;41;33;37;42;0
Bosnia and Herzegovina;BIH;ECA;0;0;0;0;0;0;38;2.56;34;42;7;42;2.3;7;42;2.9;7;39;1.1499999762;6;38;1.7100000381;6;39;1.7;7;0;27;47;41;0;0;0;39;0;32;37;44;0
Guyana;GUY;AME;0;0;0;0;0;0;38;1.84;35;41;5;28;2.1;4;27;2.9;4;30;3.0299999714;4;29;3.0099999905;4;34;3.57;6;35;0;35;0;0;0;0;38;38;45;0;0;0
Sri Lanka;LKA;AP;0;0;0;0;0;0;38;1.82;35;41;7;40;1.3;7;37;2.1;7;38;2.1800000668;7;37;2.0899999142;7;36;1.64;7;0;36;35;41;0;0;0;34;38;48;37;0;0
Timor-Leste;TLS;AP;0;0;0;0;0;0;38;7.5;26;50;3;33;5.6;3;30;3.2;3;28;5.1799998283;3;28;5.1700000763;3;35;5.97;3;27;0;35;0;0;0;0;0;0;52;0;0;0
Brazil;BRA;AME;0;0;1;0;1;0;37;4.24;30;44;8;43;3.3;8;42;3.7;8;43;4.0100002289;7;38;5.2899999619;7;40;4.34;8;0;19;47;57;0;24;0;39;32;38;37;0;0
Colombia;COL;AME;0;0;0;0;0;0;37;2.77;32;42;8;36;2.6;7;36;2;7;37;1.6799999475;7;37;1.9400000572;7;37;2.27;8;0;25;47;41;0;25;0;36;41;41;37;0;0
Indonesia;IDN;AP;0;0;0;0;1;0;37;3.12;32;42;9;32;2.9;9;32;3.5;9;34;3.5699999332;8;36;3.3900001049;8;37;2.39;8;0;50;35;37;0;41;0;20;50;30;37;0;32
Panama;PAN;AME;0;0;0;0;0;0;37;1.79;34;40;7;38;3.1;6;35;2.2;6;37;3.4900000095;6;39;3.0099999905;6;38;2.29;6;0;31;35;37;0;0;0;42;32;44;37;0;0
Peru;PER;AME;0;0;0;0;0;0;37;3.35;32;42;8;38;2.1;7;38;2.5;7;38;2.6300001144;7;36;3.0499999523;7;35;2.04;7;0;25;35;45;0;26;0;30;45;51;37;0;0
Thailand;THA;AP;0;0;0;0;0;0;37;2.03;34;40;9;37;1.6;8;35;1.2;8;38;1.6000000238;8;38;2.1199998856;8;35;2.44;9;0;42;35;37;0;43;0;40;32;23;37;0;0
Zambia;ZMB;SSA;1;0;0;0;0;0;37;2.46;33;41;9;37;3.1;8;38;2.1;8;38;2.2699999809;8;38;2.5499999523;8;38;2.91;9;35;29;35;29;39;0;0;40;38;54;37;0;0
Bahrain;BHR;MENA;0;1;0;0;0;0;36;1.81;33;39;4;51;4.1;5;48;5.4;5;49;6.1100001335;5;51;7.8600001335;5;43;5.96;5;0;0;35;33;0;0;0;0;41;0;37;0;0
Côte D'Ivoire;CIV;SSA;1;0;0;0;0;0;36;2.03;33;39;8;29;2.4;8;27;2.3;8;32;4.1999998093;8;32;2.6500000954;8;34;2.03;8;35;0;47;29;32;0;0;33;32;41;37;0;0
Mongolia;MNG;AP;0;0;0;0;0;0;36;1.4;34;38;9;36;2.6;7;38;2.2;7;39;2.1300001144;7;39;1.7599999905;8;38;1.7;9;43;30;35;41;0;33;0;36;32;35;37;0;41
Tanzania;TZA;SSA;1;0;0;0;0;0;36;1.55;33;39;9;35;2.1;8;33;2.7;8;31;3.2000000477;8;30;3.4900000095;8;32;1.84;9;35;39;35;33;39;0;0;27;32;43;37;0;0
Armenia;ARM;ECA;0;0;0;0;0;0;35;3.79;29;41;6;34;2.7;6;36;3.5;6;37;3.6900000572;6;35;2.9800000191;5;33;4.01;6;0;47;35;33;0;0;0;0;32;20;0;42;0
Ethiopia;ETH;SSA;1;0;0;0;0;0;35;1.36;33;37;9;33;1.6;8;33;2.5;8;33;2.5399999619;8;33;2.7300000191;8;34;1.37;9;35;37;35;25;37;0;0;36;32;38;37;0;0
Macedonia;MKD;ECA;0;0;0;0;0;0;35;4.49;28;42;6;43;4.7;6;44;5;6;45;5.9200000763;6;42;5.2699999809;6;37;4.97;7;0;0;35;41;0;0;0;43;0;24;20;47;0
