"idviv","idhogar","idindivsp","isla","isla3","c_nuts4","urb_rur","tper","tama_hogar","num_adultos","tipo_hogar","ing_hog","edif","nhabit","superf","problem_luz","problem_got","problem_humed","problem_suc","problem_olor","problem_ruina","problem_def","tenencia","gasto_tenencia","tv","tva","tvb","tvc","tvd","tve","tlf_fijo","ordenador","ordenador_no","nordenador_a","nordenador_b","nordenador_c","internet","internet_noa","internet_nob","internet_noc","internet_nod","internet_noe","internet_nof","econo_sub1","econo_sub2","econo_sub3a","econo_sub3b","econo_sub3c","econo_sub3d","econo_sub3e","econo_sub3f","econo_sub3g","econo_sub3h","econo_sub3i","econo_sub3j","econo1a","econo1b","econo1c","econo1d","econo2a","econo2b","econo2c","econo2d","econo3","econo3a","econo4","econo4a","sexosp","edadsp","ecivilsp","naciodsp","extranjsp","lnacsp","cod_lnacsp","resIBsp","estudiossp","actividadsp","ingresos_1asp","ingresos_1bsp","ingresos_1csp","ingresos_1dsp","ingresos_1esp","ingresos_1fsp","ingresos_2asp","ingresos_2bsp","ingresos_2csp","ingresos_2dsp","ingresos_2esp","ingresos_2fsp","factor_h"
"105_03924","105039241","10503924101","1","1","040705","2",1,"1",1,"02","02","1",6,115,"6","1","1","6","6","6","6","2","-1","1","1","6","6","6","6","1","6","3","-1","-1","-1","6","6","6","6","6","1","1","3",1000,"6","6","6","6","6","6","6","6","6","6","6","6","6","6","-1","-1","-1","-1","6","-1","6","-1","2",89,"3","1","-1","1","-1","-1","01","3","6","6","1","6","6","6","-1","-1","3","-1","-1","-1",117.91417129
"105_03925","105039251","10503925101","1","1","040705","2",2,"2",2,"06","05","1",7,120,"1","6","1","6","6","6","1","2","-1","1","1","6","6","6","6","6","6","1","-1","-1","-1","6","6","6","6","6","6","1","3",2000,"6","6","6","6","6","1","1","1","6","1","6","6","6","6","-1","-1","-1","-1","6","-1","6","-1","2",58,"2","1","-1","1","-1","-1","02","3","6","6","1","6","6","6","-1","-1","3","-1","-1","-1",35.557272004
"105_03927","105039271","10503927101","1","1","040705","2",2,"2",2,"06","-8","1",7,200,"6","1","1","6","6","6","6","2","-1","1","1","6","6","6","6","1","6","3","-1","-1","-1","6","6","6","6","6","1","1","4",2000,"6","6","6","6","6","6","6","6","6","6","6","6","6","6","-1","-1","-1","-1","6","-1","6","-1","2",56,"2","1","-1","1","-1","-1","03","3","6","6","6","6","6","6","-1","-1","-1","-1","-1","-1",56.221934803
"105_03928","105039281","10503928101","1","1","040705","2",2,"2",2,"06","-8","1",6,150,"6","6","6","6","6","6","6","2","-1","1","1","6","6","6","6","1","6","3","-1","-1","-1","6","6","6","6","6","1","6","4",1500,"6","6","6","6","6","6","6","6","6","6","6","6","6","6","-1","-1","-1","-1","6","-1","6","-1","1",52,"2","1","-1","1","-1","-1","03","1","6","1","6","6","6","6","-1","5","-1","-1","-1","-1",11.3
"105_04002","105040021","10504002101","1","1","040705","2",1,"1",1,"02","04","3",4,80,"6","6","6","6","6","6","6","2","-1","1","6","6","6","6","1","6","1","-1","1","0","0","1","-1","-1","-1","-1","-1","-1","4",1500,"6","6","6","6","6","6","6","6","6","6","6","6","6","6","-1","-1","-1","-1","6","-1","6","-1","1",68,"5","3","125","3","125","13","06","3","6","6","1","6","6","6","-1","-1","3","-1","-1","-1",286.48368097
"105_04004","105040041","10504004101","1","1","040705","2",1,"1",1,"02","02","2",7,95,"6","6","1","6","6","6","6","2","-1","1","1","6","6","6","6","1","6","1","-1","-1","-1","6","6","6","6","6","6","1","3",1200,"6","6","6","6","6","1","1","1","6","6","6","6","6","6","-1","-1","-1","-1","6","-1","6","-1","2",78,"2","1","-1","1","-1","-1","01","3","6","6","1","6","6","6","-1","-1","2","-1","-1","-1",117.91417129
"105_04007","105040071","10504007102","1","1","040705","2",3,"3",2,"03","04","1",8,160,"1","6","1","6","6","6","6","2","-1","1","1","6","6","6","6","6","1","-1","1","0","0","1","-1","-1","-1","-1","-1","-1","4",2500,"6","6","6","6","6","1","1","1","6","1","6","6","6","6","-1","-1","-1","-1","6","-1","6","-1","1",53,"2","1","-1","1","-1","-1","03","2","6","6","6","6","1","6","-1","-1","-1","-1","3","-1",11.3
"105_04008","105040081","10504008101","1","1","040705","2",1,"1",1,"01","04","1",8,180,"1","6","1","6","6","6","6","2","-1","1","1","6","6","1","6","6","1","-1","0","1","0","1","-1","-1","-1","-1","-1","-1","4",3500,"6","6","6","6","6","6","6","6","6","6","6","6","6","6","-1","-1","-1","-1","6","-1","1","2","1",46,"1","2","126","3","126","11","08","1","1","6","6","6","6","6","5","-1","-1","-1","-1","-1",47.952907816
"105_04011","105040111","10504011101","1","1","040705","2",2,"2",2,"06","04","3",5,65,"6","6","1","6","6","6","6","1","02","1","1","6","6","6","6","1","1","-1","1","0","0","1","-1","-1","-1","-1","-1","-1","2",2000,"6","6","6","6","6","1","1","1","6","6","6","6","6","6","-1","-1","-1","-1","6","-1","6","-1","1",32,"2","3","316","3","316","6","02","2","6","6","6","6","1","6","-1","-1","-1","-1","3","-1",467.53335353
"105_04016","1050401611","105040161101","1","1","040705","2",4,"4",3,"11","04","2",4,200,"6","6","6","1","6","6","6","2","-1","1","1","6","6","6","6","1","1","-1","1","1","0","1","-1","-1","-1","-1","-1","-1","4",2500,"1","6","6","6","6","1","6","6","6","1","1","6","6","6","-8","-1","-1","-1","6","-1","6","-1","2",45,"2","1","-1","1","-1","-1","06","1","1","6","6","6","6","6","4","-1","-1","-1","-1","-1",11.3
